"u:0","u:1","u:2","p","node_groups"
-0.0053458,0.02027,0,-0.019777,0
-0.0058245,0.023798,0,-0.020651,0
-0.0063012,0.027621,0,-0.02222,0
-0.0067793,0.03174,0,-0.024557,0
-0.0072618,0.036157,0,-0.027734,0
-0.0077515,0.040874,0,-0.031825,0
-0.0082509,0.045896,0,-0.036912,0
-0.0087625,0.051228,0,-0.043078,0
-0.0092886,0.056877,0,-0.050415,0
-0.009832,0.062851,0,-0.05902,0
-0.010395,0.06916,0,-0.069002,0
-0.010982,0.075813,0,-0.080479,0
-0.011596,0.082824,0,-0.093584,0
-0.012242,0.090207,0,-0.10846,0
-0.012928,0.097979,0,-0.12528,0
-0.01366,0.10616,0,-0.14423,0
-0.01445,0.11477,0,-0.16553,0
-0.015312,0.12385,0,-0.18943,0
-0.016261,0.13342,0,-0.21623,0
-0.01732,0.14353,0,-0.24631,0
-0.018518,0.15424,0,-0.28008,0
-0.019888,0.1656,0,-0.3181,0
-0.021477,0.1777,0,-0.36103,0
-0.023341,0.19062,0,-0.40971,0
-0.025553,0.20447,0,-0.46522,0
-0.028205,0.21937,0,-0.52896,0
-0.031411,0.23546,0,-0.60276,0
-0.035315,0.25286,0,-0.68903,0
-0.040086,0.27166,0,-0.79102,0
-0.045908,0.29184,0,-0.91312,0
-0.052938,0.31316,0,-1.0611,0
-0.061154,0.33478,0,-1.2433,0
-0.069971,0.35476,0,-1.4681,0
-0.077035,0.3686,0,-1.7506,0
-0.075159,0.367,0,-2.0809,0
-0.042819,0.33178,0,-2.4765,0
0.07507,0.2391,0,-2.6712,0
0.39665,0.090433,0,-2.843,0
1,0,0,-1.2888,0
0,0,0,0,0
5.807e-05,0.0027497,0,-0.043815,0
-0.00040626,0.0024768,0,-0.0304,0
-0.0011651,0.0033855,0,-0.032296,0
-0.0020635,0.0043884,0,-0.02998,0
-0.0030111,0.0058181,0,-0.028714,0
-0.0039614,0.0076124,0,-0.027179,0
-0.0048926,0.0098001,0,-0.025849,0
-0.0057969,0.012375,0,-0.024719,0
-0.0066735,0.015335,0,-0.023908,0
-0.0075256,0.018673,0,-0.023493,0
-0.0083581,0.022384,0,-0.023556,0
-0.0091767,0.026463,0,-0.024171,0
-0.0099871,0.030908,0,-0.02541,0
-0.010795,0.035717,0,-0.027343,0
-0.011604,0.040889,0,-0.030041,0
-0.012421,0.046427,0,-0.033578,0
-0.013248,0.052334,0,-0.038028,0
-0.01409,0.058612,0,-0.043471,0
-0.01495,0.065269,0,-0.049992,0
-0.015833,0.07231,0,-0.057681,0
-0.01674,0.079742,0,-0.066635,0
-0.017677,0.087574,0,-0.076964,0
-0.018648,0.095815,0,-0.088782,0
-0.019659,0.10448,0,-0.10222,0
-0.020717,0.11357,0,-0.11743,0
-0.021831,0.1231,0,-0.13456,0
-0.023011,0.1331,0,-0.15381,0
-0.024272,0.14357,0,-0.17539,0
-0.025632,0.15454,0,-0.19954,0
-0.027113,0.16603,0,-0.22655,0
